Age,Attrition,BusinessTravel,DailyRate,Department
41,0,0,1102,0
49,1,1,279,1
37,0,0,1373,1
33,1,1,1392,1
27,1,0,591,1
32,1,1,1005,1
59,1,0,1324,1
30,1,0,1358,1
38,1,1,216,1
36,1,0,1299,1
35,1,0,809,1
29,1,0,153,1
31,1,0,670,1
34,1,0,1346,1
28,0,0,103,1
29,1,0,1389,1
32,1,0,334,1
22,1,2,1123,1
53,1,0,1219,0
38,1,0,371,1
24,1,2,673,1
36,0,0,1218,0
34,1,0,419,1
21,1,0,391,1
34,0,0,699,1
53,1,0,1282,1
32,0,1,1125,1
42,1,0,691,0
44,1,0,477,1
46,1,0,705,0
33,1,0,924,1
44,1,0,1459,1
30,1,0,125,1
39,0,0,895,0
24,0,0,813,1
43,1,0,1273,1
50,0,0,869,0
35,1,0,890,0
36,1,0,852,1
33,1,1,1141,0
35,1,0,464,1
27,1,0,1240,1
26,0,0,1357,1
27,1,1,994,0
30,1,1,721,1
41,0,0,1360,1
34,1,2,1065,0
37,1,0,408,1
